309,"['85.32024264', '27.70301223']"
310,"['15.45', '41.7833']"
311,"['-4.96263989', '36.49729342']"
312,"['0.55324', '51.87776']"
313,"['85.35074472', '27.70528247']"
314,"['2.3492', '48.8573']"
315,"['0.37338294', '50.81937006']"
316,"['0.04968474', '51.5447969']"
317,"['-0.41182', '51.5705']"
318,"['-59.62888893', '13.13367543']"
319,"['-80.9318507', '46.4916824']"
320,"['36.81666667', '-1.28333333']"
321,"['-0.77614997', '53.39362303']"
322,"['3.39583', '6.45306']"
323,"['21.008333', '52.232222']"
324,"['-80.28091469', '25.97734614']"
325,"['-82.5122', '40.0675']"
326,"['-0.1155349', '53.8319973']"
327,"['-73.56725453', '45.75975883']"
328,"['3.39583', '6.45306']"
329,"['-73.56726563', '45.63697547']"
330,"['-0.97835544', '51.45134762']"
331,"['-76.9434', '-12.221']"
332,"['-80.109346', '26.1609172']"
333,"['112.743', '-7.2647']"
334,"['100.53376524', '13.74472161']"
335,"['-74.0064', '40.7142']"
336,"['-73.8516994', '42.6145104']"
337,"['-73.994508', '40.763186']"
338,"['152.35228', '-24.86792']"
339,"['-74.0064', '40.7142']"
340,"['-75.1651', '39.9527']"
341,"['12', '43']"
342,"['78.33496923', '17.51029703']"
343,"['-79.3872', '43.648']"
344,"['151.20724931', '-33.88894011']"
345,"['-73.56726563', '45.63697547']"
